playerID,year,stint,tmID,rebounds,assists,blocks,dq,PostAssists,PostBlocks,PostDQ,franchID,pos,height,points_per_minute,steals_per_minute,PF_per_minute,turnovers_per_minute,fgRate,ftRate,threeRate,PostfgRate,PostftRate,PostthreeRate,PostPoints_per_minute,PostRebounds_per_minute,PostSteals_per_minute,PostTurnovers_per_minute,PostPF_per_minute,minutes_per_game,Postminutes_per_game
abrossv01w,2,0,MIN,174.0,53.0,9.0,2.0,0.0,0.0,0.0,MIN,F,74.0,0.40543735224586286,0.04964539007092199,0.08274231678486997,0.10047281323877069,0.3890784982935154,0.7272727272727273,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.53846153846154,0.0
abrossv01w,3,0,MIN,146.0,60.0,10.0,0.0,0.0,0.0,0.0,MIN,F,74.0,0.39006211180124223,0.05217391304347826,0.0906832298136646,0.11428571428571428,0.37658227848101267,0.4827586206896552,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.814814814814813,0.0
abrossv01w,4,0,MIN,141.0,82.0,11.0,0.0,4.0,1.0,0.0,MIN,F,74.0,0.4015151515151515,0.05555555555555555,0.09974747474747475,0.11363636363636363,0.3929824561403509,0.7040816326530612,0.3048780487804878,0.2727272727272727,1.0,0.42857142857142855,0.3333333333333333,0.07246376811594203,0.057971014492753624,0.11594202898550725,0.11594202898550725,26.4,23.0
abrossv01w,5,0,MIN,74.0,45.0,2.0,0.0,3.0,2.0,0.0,MIN,F,74.0,0.31601731601731603,0.06493506493506493,0.09090909090909091,0.09307359307359307,0.35251798561151076,0.6086956521739131,0.37735849056603776,0.34782608695652173,0.5,0.25,0.29850746268656714,0.13432835820895522,0.014925373134328358,0.04477611940298507,0.1044776119402985,21.0,33.5
abrossv01w,6,0,MIN,107.0,60.0,6.0,0.0,0.0,0.0,0.0,MIN,F,74.0,0.3912483912483912,0.06177606177606178,0.11068211068211069,0.10296010296010295,0.39492753623188404,0.726027397260274,0.4024390243902439,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.06451612903226,0.0
abrossv01w,7,0,MIN,106.0,54.0,1.0,0.0,0.0,0.0,0.0,MIN,F,74.0,0.3632596685082873,0.04696132596685083,0.09116022099447514,0.08425414364640885,0.4107883817427386,0.6612903225806451,0.36923076923076925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.294117647058822,0.0
abrossv01w,8,0,MIN,150.0,85.0,4.0,0.0,0.0,0.0,0.0,MIN,F,74.0,0.4092526690391459,0.05219454329774614,0.10201660735468565,0.08066429418742586,0.4429530201342282,0.8372093023255814,0.44554455445544555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.794117647058822,0.0
abrossv01w,9,0,CON,20.0,12.0,0.0,0.0,4.0,0.0,0.0,CON,F,74.0,0.3177570093457944,0.07476635514018691,0.12149532710280374,0.102803738317757,0.3055555555555556,0.8333333333333334,0.16666666666666666,0.4583333333333333,0.5,0.0,0.38095238095238093,0.1746031746031746,0.06349206349206349,0.047619047619047616,0.12698412698412698,17.833333333333332,21.0
adamsjo01w,4,0,MIN,23.0,4.0,3.0,0.0,0.0,0.0,0.0,MIN,C,75.0,0.34375,0.020833333333333332,0.10416666666666667,0.10416666666666667,0.3939393939393939,1.0,0.4166666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.6,0.0
aguilel01w,3,0,UTA,11.0,16.0,2.0,0.0,2.0,0.0,0.0,SAS,G,67.0,0.3049645390070922,0.02127659574468085,0.03546099290780142,0.07801418439716312,0.42424242424242425,0.5714285714285714,0.5238095238095238,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,5.035714285714286,2.0
ajavoma01w,9,0,HOU,60.0,59.0,6.0,1.0,0.0,0.0,0.0,HOU,G,68.0,0.4519867549668874,0.05132450331125828,0.14072847682119205,0.09105960264900662,0.33098591549295775,0.7912087912087912,0.19117647058823528,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.764705882352942,0.0
ajavoma01w,10,0,WAS,64.0,37.0,4.0,1.0,3.0,0.0,0.0,WAS,G,68.0,0.46337308347529815,0.06303236797274275,0.14310051107325383,0.08517887563884156,0.3359683794466403,0.6727272727272727,0.34146341463414637,0.375,0.8333333333333334,0.25,0.5588235294117647,0.14705882352941177,0.11764705882352941,0.058823529411764705,0.17647058823529413,17.264705882352942,17.0
aldrima01w,1,0,WAS,24.0,28.0,4.0,0.0,7.0,0.0,0.0,WAS,G,71.0,0.23161764705882354,0.03308823529411765,0.11029411764705882,0.09926470588235294,0.46296296296296297,0.3181818181818182,0.5,0.45454545454545453,0.5,0.0,0.2857142857142857,0.08163265306122448,0.02040816326530612,0.02040816326530612,0.061224489795918366,9.379310344827585,24.5
aldrima01w,2,0,WAS,2.0,2.0,0.0,0.0,0.0,0.0,0.0,WAS,G,71.0,0.2,0.0,0.14285714285714285,0.11428571428571428,0.3333333333333333,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0
alhalta01w,2,0,ORL,38.0,14.0,0.0,0.0,0.0,0.0,0.0,CON,F-G,72.0,0.19444444444444445,0.04365079365079365,0.07936507936507936,0.1111111111111111,0.3275862068965517,0.5,0.36363636363636365,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.692307692307692,0.0
