year,tmID,franchID,confID,rank,firstRound,semis,finals,o_fga,o_fta,o_3pa,o_oreb,o_dreb,o_asts,o_pf,o_stl,o_to,o_blk,d_fga,d_fta,d_3pa,d_oreb,d_dreb,d_asts,d_pf,d_stl,d_to,d_blk,tmORB,tmDRB,tmTRB,opptmORB,opptmDRB,opptmTRB,won,confW,min,attend,label,o_3prate,d_3prate,o_ftrate,d_ftrate,o_fgrate,d_fgrate,coach_won_rate,coach_total_games,cumulative_coach_awards,coach_games_played,won_percentage_year_1,won_percentage_year_2,won_percentage_year_3,won_percentage_year_4,won_percentage_year_5,avg_win_last_3_years,AbstractPlayersFeature1,AbstractPlayersFeature2,AbstractPlayersFeature3,AbstractPlayersFeature4,AbstractPlayersFeature5,rating_max_C,rating_max_F,rating_max_G,rating_second_max_C,rating_second_max_F,rating_second_max_G,rating_third_max_C,rating_third_max_F,rating_third_max_G,mean_C,mean_F,mean_G,no_new_players
1,LAS,LAS,0,1.0,1,0,0,1956.0,693.0,452.0,308.0,783.0,586.0,705.0,271.0,466.0,156.0,1963.0,692.0,413.0,300.0,678.0,445.0,650.0,243.0,485.0,105.0,0.0,0.0,0.0,0.0,0.0,0.0,0.875,0.8095238095238095,6450.0,105005.0,1.0,0.331858407079646,0.2953995157384987,0.7864357864357865,0.7153179190751445,0.4401840490797546,0.3953132959755476,0.875,32.0,1.0,32.0,0.5,0.5,0.5,0.5,0.5,0.875,-62.49509384755542,3.477549175440228,0.09946108943330897,-1.404256903820373,0.380172041391042,0.5918415618523685,0.6153925447555568,0.5607884788408029,0.5918415618523685,0.6153925447555568,0.5607884788408029,0.47286041955107755,0.5366510355113563,0.5607884788408029,0.532350990701723,0.5760217901334566,0.535422607422593,2.0
1,NYL,NYL,1,1.0,1,1,0,1815.0,567.0,396.0,288.0,652.0,477.0,617.0,246.0,474.0,102.0,1822.0,590.0,420.0,320.0,647.0,462.0,645.0,223.0,479.0,94.0,0.0,0.0,0.0,0.0,0.0,0.0,0.625,0.6666666666666666,6425.0,231962.0,1.0,0.3409090909090909,0.2761904761904762,0.7566137566137566,0.7406779661016949,0.4363636363636363,0.4066959385290889,0.625,32.0,0.0,32.0,0.5,0.5,0.5,0.5,0.5,0.625,-59.49748287543294,-0.6940382516751501,0.3468148121784912,-0.02708324783922017,0.16375625980386319,0.0,0.5793716491410301,0.5936294648636812,0.0,0.5793716491410301,0.5936294648636812,0.0,0.5433666370857351,0.5936294648636812,0.0,0.5613691431133826,0.5124050144122768,6.0
1,CLE,CLE,1,2.0,1,0,0,1828.0,570.0,407.0,331.0,603.0,539.0,647.0,259.0,538.0,91.0,1761.0,583.0,368.0,277.0,596.0,540.0,693.0,305.0,552.0,95.0,0.0,0.0,0.0,0.0,0.0,0.0,0.53125,0.6190476190476191,6500.0,137532.0,1.0,0.3464373464373464,0.3233695652173913,0.7473684210526316,0.7804459691252144,0.4425601750547046,0.4395229982964225,0.53125,32.0,0.0,32.0,0.5,0.5,0.5,0.5,0.5,0.53125,-67.50970984228864,-0.660442712652046,-0.09754180700632037,-0.14223394837413578,0.025497265590962725,0.5322039063463935,0.5708275441542456,0.572900546585291,0.5322039063463935,0.5708275441542456,0.572900546585291,0.5322039063463935,0.5708275441542456,0.572900546585291,0.5229907472102974,0.513338267488759,0.5098298531323769,2.0
1,HOU,HOU,0,2.0,1,1,1,1894.0,634.0,491.0,273.0,724.0,494.0,554.0,284.0,440.0,104.0,1938.0,508.0,418.0,290.0,612.0,473.0,648.0,233.0,480.0,85.0,0.0,0.0,0.0,0.0,0.0,0.0,0.84375,0.8095238095238095,6475.0,196077.0,1.0,0.35030549898167,0.2966507177033493,0.8217665615141956,0.7283464566929134,0.4704329461457233,0.4055727554179567,0.84375,32.0,0.0,32.0,0.5,0.5,0.5,0.5,0.5,0.84375,-64.48879694277159,-0.4796689548208304,1.8619320598741567,0.29754983113751776,0.12034957278210999,0.5165215089446582,0.555363856292217,0.6137326313132155,0.5165215089446582,0.555363856292217,0.6137326313132155,0.5165215089446582,0.555363856292217,0.5931959730476252,0.5165215089446582,0.555363856292217,0.6034643021804204,4.0
1,ORL,CON,1,3.0,0,0,0,1911.0,546.0,424.0,319.0,606.0,473.0,583.0,255.0,486.0,130.0,1964.0,495.0,450.0,348.0,669.0,536.0,637.0,264.0,500.0,108.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.6190476190476191,6500.0,117810.0,0.0,0.3419811320754717,0.34,0.7271062271062271,0.7636363636363637,0.4358974358974359,0.4332993890020367,0.5,32.0,0.0,32.0,0.5,0.5,0.5,0.5,0.5,0.5,-66.50751336131178,-0.5768506225621964,0.04046461316398706,-0.11723770347463598,-0.1845747343927582,0.5513167212070658,0.0,0.5289594882238743,0.5513167212070658,0.0,0.5289594882238743,0.5513167212070658,0.0,0.45100529991815713,0.5513167212070658,0.0,0.48998239407101574,4.0
1,SAC,SAC,0,3.0,0,0,0,1993.0,650.0,459.0,388.0,650.0,567.0,571.0,332.0,458.0,157.0,1918.0,544.0,418.0,320.0,631.0,503.0,600.0,226.0,524.0,116.0,0.0,0.0,0.0,0.0,0.0,0.0,0.65625,0.6190476190476191,6400.0,126841.0,1.0,0.3093681917211329,0.3444976076555024,0.6907692307692308,0.7536764705882353,0.4395383843452082,0.4228362877997914,0.24609375,12.0,0.0,32.0,0.5,0.5,0.5,0.5,0.5,0.65625,-56.510483935063796,-0.5668087803383299,-0.08628727704213447,-0.18851706552270392,-0.32209650371398924,0.44039136564404324,0.49569460880920446,0.5840867017456913,0.44039136564404324,0.49569460880920446,0.5840867017456913,0.44039136564404324,0.49569460880920446,0.5840867017456913,0.44039136564404324,0.49569460880920446,0.514638107317317,2.0
1,PHO,PHO,0,4.0,0,0,0,1800.0,661.0,394.0,275.0,619.0,465.0,630.0,285.0,429.0,91.0,1828.0,574.0,416.0,334.0,635.0,486.0,699.0,224.0,531.0,91.0,0.0,0.0,0.0,0.0,0.0,0.0,0.625,0.5238095238095238,6425.0,161075.0,0.0,0.3147208121827411,0.3245192307692308,0.7760968229954615,0.7334494773519163,0.4461111111111111,0.4228665207877461,0.0,0.0,0.0,32.0,0.5,0.5,0.5,0.5,0.5,0.625,-58.50906110345674,-0.6392961721652456,0.02841182144603222,-0.32411489166822854,-0.40112900790758016,0.40042072779566223,0.5733994853889244,0.6191475214157834,0.40042072779566223,0.5733994853889244,0.6191475214157834,0.40042072779566223,0.5087065379142266,0.6191475214157834,0.40042072779566223,0.5410530116515755,0.4998835245093865,7.0
1,WAS,WAS,1,4.0,0,0,0,1813.0,578.0,335.0,300.0,646.0,521.0,597.0,245.0,506.0,126.0,1875.0,555.0,397.0,299.0,612.0,513.0,595.0,261.0,456.0,102.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4375,0.6190476190476191,6400.0,244134.0,0.0,0.3253731343283582,0.3753148614609571,0.6972318339100346,0.6882882882882883,0.458907887479316,0.4506666666666666,0.0,0.0,0.0,32.0,0.5,0.5,0.5,0.5,0.5,0.4375,-53.507215840623154,-0.636685305266231,-0.018075773692075397,-0.17920018361742113,-0.2942457221823018,0.49333434058912373,0.536055471315998,0.5261309020169999,0.49333434058912373,0.536055471315998,0.5261309020169999,0.49333434058912373,0.536055471315998,0.5035043534207512,0.49333434058912373,0.5219834921780494,0.5148176277188755,6.0
1,DET,DET,1,5.0,0,0,0,1980.0,699.0,273.0,341.0,644.0,503.0,701.0,260.0,530.0,88.0,1967.0,652.0,372.0,331.0,640.0,513.0,672.0,284.0,543.0,148.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4375,0.4761904761904761,6425.0,107289.0,0.0,0.2783882783882784,0.3655913978494624,0.7424892703862661,0.7361963190184049,0.4383838383838384,0.4600915099135739,0.0,0.0,0.0,32.0,0.5,0.5,0.5,0.5,0.5,0.4375,-65.50084488275328,-0.7054094709532366,-0.08135993811568402,-0.18470286753368306,0.09211927873073594,0.0,0.4680529710883891,0.448280510276,0.0,0.4680529710883891,0.448280510276,0.0,0.41329236255872437,0.448280510276,0.0,0.44067266682355677,0.448280510276,5.0
1,UTA,SAS,0,5.0,0,0,0,1896.0,790.0,262.0,348.0,732.0,522.0,698.0,214.0,544.0,157.0,1964.0,721.0,448.0,313.0,598.0,503.0,702.0,301.0,437.0,112.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5625,0.6190476190476191,6400.0,103442.0,1.0,0.3358778625954198,0.3482142857142857,0.7708860759493671,0.7364771151178918,0.4525316455696203,0.4378818737270876,0.228515625,13.0,0.0,32.0,0.5,0.5,0.5,0.5,0.5,0.5625,-55.50704549382812,-0.5815532043304422,0.010016981474748676,-0.11044875274792078,-0.22932418524133863,0.4679819374374571,0.45945334064270826,0.4562499515927961,0.4679819374374571,0.45945334064270826,0.4562499515927961,0.41554168370004807,0.45945334064270826,0.4562499515927961,0.4417618105687526,0.4370255606647821,0.445934286181562,3.0
